Date,삼성전자,SK하이닉스,NAVER,카카오,POSCO홀딩스
2023-09-04,67876.3828125,116875.859375,209696.078125,48973.31640625,552519.9375
2023-09-05,67399.71875,117071.953125,210191.828125,48773.8359375,559075.375
2023-09-06,66732.3984375,115895.359375,212174.75,48923.44921875,543155.375
2023-09-07,67113.7265625,116189.515625,214653.4375,48624.21875,531917.625
2023-09-08,67018.390625,111483.0859375,213166.234375,48125.5078125,545964.625
2023-09-11,67495.0546875,113640.2109375,209696.078125,48125.5078125,533790.5625
2023-09-12,67209.0625,114424.609375,217627.84375,48275.12109375,511315.0625
2023-09-13,67590.3984375,116189.515625,220106.515625,47676.671875,495395.0625
2023-09-14,68353.0546875,119817.359375,223576.671875,48175.3828125,517870.40625
2023-09-15,68639.0390625,120013.4609375,227542.5625,48723.96484375,546901.1875
2023-09-18,66923.0546875,116679.7578125,219610.796875,48474.60546875,564694.25
2023-09-19,66541.734375,116875.859375,217627.84375,47726.5390625,555329.4375
2023-09-20,66351.0703125,115699.2578125,215644.90625,46978.48046875,556265.9375
2023-09-21,65683.75,114228.5,208208.875,45532.21875,540345.8125
2023-09-22,65588.421875,115012.90625,206225.9375,44933.765625,532854.0625
2023-09-25,66160.3984375,114718.75,204738.734375,44684.41015625,504759.78125
2023-09-26,65739.7109375,113047.609375,199285.625,43637.12109375,501466.84375
2023-09-27,65548.0546875,112752.7109375,199781.375,43836.60546875,503348.5
2023-10-04,64685.5703125,113440.8359375,189569.234375,41492.66796875,480768.40625
2023-10-05,63918.93359375,118159.3359375,187784.578125,40744.6015625,480768.40625
2023-10-06,63248.1171875,118355.9453125,189271.78125,41941.5078125,483590.9375
2023-10-10,63631.44140625,117471.21875,189569.234375,41293.18359375,463833.3125
2023-10-11,65356.38671875,117176.3203125,191353.859375,42539.95703125,477005.0625
2023-10-12,66027.2109375,122091.4296875,191948.75,43537.37890625,487354.28125
2023-10-13,65164.73828125,122582.9375,190164.109375,43088.5390625,481709.25
2023-10-16,64493.9140625,121993.1171875,188082.015625,43038.671875,477005.0625
2023-10-17,66506.34375,127792.9609375,186892.25,42689.57421875,473241.75
2023-10-18,67560.5,127792.9609375,184711.015625,41692.15234375,470419.15625
2023-10-19,66602.1875,123565.96875,179852.8125,40395.50390625,448779.90625
2023-10-20,65931.3828125,124057.46875,178663.03125,38949.24609375,426199.78125
2023-10-23,65548.0546875,121894.8203125,176779.25,37852.0859375,426199.78125
2023-10-24,65643.875,124647.2890625,185405.046875,39497.828125,445957.4375
2023-10-25,65164.73828125,125335.40625,187487.125,38849.50390625,419143.46875
2023-10-26,63918.93359375,117962.7265625,180348.53125,37552.859375,396563.34375
2023-10-27,64493.9140625,117078.015625,183818.6875,37652.6015625,397974.65625
2023-10-30,64493.9140625,117078.015625,184512.71875,37901.95703125,407383.0
2023-10-31,64110.59375,114325.5390625,185801.625,37702.47265625,387154.96875
2023-11-01,65739.7109375,118257.6484375,186099.078125,37502.98828125,378687.46875
2023-11-02,66793.859375,123172.75,189172.625,38450.53515625,402208.40625
2023-11-03,66698.0078125,123664.265625,198789.90625,41193.44140625,412087.21875
2023-11-06,67943.8203125,130742.0234375,203747.265625,44584.671875,491117.625
2023-11-07,67943.8203125,128186.171875,198789.90625,43637.12109375,437019.4375
2023-11-08,66985.515625,125433.7109375,195716.34375,43836.60546875,429492.71875
